periodo,mes,tipo_pasajero,origen,destino,viajes_proyectados
2027-01,1,Normal,Alborada,Juan Pablo II,655.2221399787826
2027-01,1,Normal,Alborada,Diagonal Biobío,481.01690282068756
2027-01,1,Normal,Alborada,Alborada,89.13840874063321
2027-01,1,Normal,Alborada,Costa Mar,166.56671629874376
2027-01,1,Normal,Alborada,El Parque,243.7348703236502
2027-01,1,Normal,Alborada,Lomas Coloradas,753.5287195307538
2027-01,1,Normal,Alborada,C. Raúl Silva H.,394.2286787860616
2027-01,1,Normal,Alborada,Hito Galvarino,275.0862889192747
2027-01,1,Normal,Alborada,Los Canelos,485.99806115227744
2027-01,1,Normal,Alborada,Huinca,289.9201460532787
2027-01,1,Normal,Alborada,Cristo Redentor,511.74085284589665
2027-01,1,Normal,Alborada,Laguna Quiñenco,500.9378617406173
2027-01,1,Normal,Alborada,Intermodal Coronel,660.4022405470024
2027-01,1,Normal,Alborada,Pasajero Lota,0.0
2027-01,1,Normal,Alborada,Concepción Centro,0.0
2027-01,1,Normal,Costa Mar,Hualqui,392.60143245778085
2027-01,1,Normal,Costa Mar,La Leonera,337.85636593305475
2027-01,1,Normal,Costa Mar,Manquimávida,209.44153096353958
2027-01,1,Normal,Costa Mar,Pedro Medina,240.1436673758641
2027-01,1,Normal,Costa Mar,Chiguayante,356.5987463618471
2027-01,1,Normal,Costa Mar,Concepción,12323.064973675708
2027-01,1,Normal,Costa Mar,Lorenzo Arenas,305.1548260013189
